TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8567703","One Piece Card Game","Royal Blood","Sabo","","OP10-049","R","Near Mint Foil","0.26","","1.4800","0.1700","","0","",""
"8567698","One Piece Card Game","Royal Blood","Sai","","OP10-048","C","Near Mint","0.10","","1.3700","0.0600","","0","",""
"8567953","One Piece Card Game","Royal Blood","Saint Homing","","OP10-093","C","Near Mint","0.07","","1.3200","0.0100","","0","",""
"8567433","One Piece Card Game","Royal Blood","Sanji","","OP10-005","SR","Near Mint Foil","7.95","","8.4900","8.4900","","0","",""
"8567438","One Piece Card Game","Royal Blood","Sanji (Parallel)","","OP10-005","SR","Near Mint Foil","28.57","","28.4200","27.2000","","0","",""
"8568123","One Piece Card Game","Royal Blood","Sanji (SP)","","ST14-003","SR","Near Mint Foil","80.39","","73.9900","69.0000","","0","",""
"8567903","One Piece Card Game","Royal Blood","Sanjuan.Wolf","","OP10-084","C","Near Mint","0.19","","1.3300","0.0200","","0","",""
"8567453","One Piece Card Game","Royal Blood","Scotch","","OP10-008","C","Near Mint","0.10","","1.3300","0.0200","","0","",""
"8568033","One Piece Card Game","Royal Blood","Scratchmen Apoo","","OP10-108","C","Near Mint","0.12","","1.3800","0.0700","","0","",""
"8567588","One Piece Card Game","Royal Blood","Sengoku","","OP10-031","C","Near Mint","0.15","","1.3300","0.0200","","0","",""
"8567798","One Piece Card Game","Royal Blood","Senor Pink","","OP10-067","R","Near Mint Foil","0.17","","1.4400","0.1300","","0","",""
"8567803","One Piece Card Game","Royal Blood","Senor Pink (Parallel)","","OP10-067","R","Near Mint Foil","7.01","","5.9800","5.9800","","0","",""
"8567913","One Piece Card Game","Royal Blood","Shiryu","","OP10-086","R","Near Mint Foil","0.22","","1.4800","0.1700","","0","",""
"8567458","One Piece Card Game","Royal Blood","Smiley","","OP10-009","R","Near Mint Foil","0.15","","1.3300","0.0200","","0","",""
"8567398","One Piece Card Game","Royal Blood","Smoker (001)","","OP10-001","L","Near Mint","0.25","","1.3600","0.0500","","0","",""
"8567403","One Piece Card Game","Royal Blood","Smoker (001) (Parallel)","","OP10-001","L","Near Mint Foil","67.19","","66.9700","65.9800","","0","",""
"8567578","One Piece Card Game","Royal Blood","Smoker (030)","","OP10-030","SR","Near Mint Foil","4.40","","5.3000","3.9900","","0","",""
"8567583","One Piece Card Game","Royal Blood","Smoker (030) (Parallel)","","OP10-030","SR","Near Mint Foil","45.10","","48.2500","47.0000","","0","",""
"8567768","One Piece Card Game","Royal Blood","Special Long-Range Attack!! Bagworm","","OP10-061","UC","Near Mint","0.21","","1.4600","0.1500","","0","",""
"8567418","One Piece Card Game","Royal Blood","Sugar (003)","","OP10-003","L","Near Mint","0.12","","1.3300","0.0200","","0","",""
"8567423","One Piece Card Game","Royal Blood","Sugar (003) (Parallel)","","OP10-003","L","Near Mint Foil","30.80","","30.9100","29.6000","","0","",""
"8567788","One Piece Card Game","Royal Blood","Sugar (065)","","OP10-065","R","Near Mint Foil","0.24","","1.4100","0.1000","","0","",""
"8567593","One Piece Card Game","Royal Blood","Tashigi","","OP10-032","SR","Near Mint Foil","6.99","","7.9400","6.9500","","0","",""
"8567598","One Piece Card Game","Royal Blood","Tashigi (Parallel)","","OP10-032","SR","Near Mint Foil","33.65","","39.9800","38.7600","","0","",""
"8567508","One Piece Card Game","Royal Blood","Ten-Layer Igloo","","OP10-018","C","Near Mint","0.12","","1.3400","0.0300","","0","",""
"8567643","One Piece Card Game","Royal Blood","The Weak Do Not Have the Right to Choose How They Die","","OP10-040","C","Near Mint","0.13","","1.3300","0.0200","","0","",""
"8567968","One Piece Card Game","Royal Blood","There's No Longer Any Need for the Seven Warlords of the Sea!!!","","OP10-096","UC","Near Mint","0.14","","1.3300","0.0200","","0","",""
"8567468","One Piece Card Game","Royal Blood","Tony Tony.Chopper (011)","","OP10-011","R","Near Mint Foil","2.34","","3.3600","2.0500","","0","",""
"8567918","One Piece Card Game","Royal Blood","Tony Tony.Chopper (087)","","OP10-087","UC","Near Mint","0.16","","1.4200","0.1100","","0","",""
